"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "CSS", "XML", "C++", "Objective-C", "Shell Script", "Java", "comment", "blank", "total"
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/032-book.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/033-books.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 1, 10
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/034-library.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/035-file-text.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/036-profile.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/037-file-empty.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/038-files-empty.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/039-file-text2.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 1, 10
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/040-file-picture.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 1, 9
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/041-file-music.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/assets/icomoon-icons/IcoMoon-Free-master/SVG/042-file-play.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
